Date,Level
05/1989,1192.59
06/1989,1190.4
07/1989,1189.72
08/1989,1189.4
09/1989,1190.22
10/1989,1189.55
11/1989,1189.02
12/1989,1189.8
01/1990,1191
02/1990,1191.75
03/1990,1189.56
04/1990,1186.89
05/1990,1183.93
06/1990,1182.06
07/1990,1179.49
08/1990,1178.82
09/1990,1180.02
10/1990,1178.9
11/1990,1178.54
12/1990,1177.89
01/1991,1179.39
02/1991,1180.06
03/1991,1179.31
04/1991,1177.8
05/1991,1175.92
06/1991,1174.67
07/1991,1173.29
08/1991,1172.92
09/1991,1173.01
10/1991,1171.73
11/1991,1171.82
12/1991,1173.44
01/1992,1177.25
02/1992,1179.42
03/1992,1180.31
04/1992,1179.78
05/1992,1177.31
06/1992,1175.07
07/1992,1173.92
08/1992,1173.59
09/1992,1174.44
10/1992,1174.68
11/1992,1175.45
12/1992,1176.86
01/1993,1183.64
02/1993,1189.88
03/1993,1193.46
04/1993,1193.04
05/1993,1190.27
06/1993,1188.27
07/1993,1187.2
08/1993,1188.41
09/1993,1189.15
10/1993,1188.05
11/1993,1188.45
12/1993,1188.75
01/1994,1190.09
02/1994,1190.97
03/1994,1188.51
04/1994,1184.94
05/1994,1181.64
06/1994,1179.42
07/1994,1178.97
08/1994,1178.24
09/1994,1178.4
10/1994,1177.8
11/1994,1175.67
12/1994,1176.55
01/1995,1180.37
02/1995,1182.58
03/1995,1182.27
04/1995,1179.68
05/1995,1178.33
06/1995,1179.03
07/1995,1180.75
08/1995,1181.7
09/1995,1184.28
10/1995,1186.12
11/1995,1189.65
12/1995,1190.92
01/1996,1193.45
02/1996,1193.81
03/1996,1193.81
04/1996,1192.75
05/1996,1191.26
06/1996,1190.43
07/1996,1190.26
08/1996,1190.02
09/1996,1190.84
10/1996,1191.56
11/1996,1192.71
12/1996,1194.38
01/1997,1195.63
02/1997,1196.51
03/1997,1199.1
04/1997,1200.01
05/1997,1199.96
06/1997,1202.32
07/1997,1203.49
08/1997,1204.52
09/1997,1205.81
10/1997,1209.64
11/1997,1212.8
12/1997,1214.64
01/1998,1214.4
02/1998,1214.05
03/1998,1214.26
04/1998,1212.74
05/1998,1211.59
06/1998,1211.83
07/1998,1212.43
08/1998,1214.3
09/1998,1214.78
10/1998,1215.76
11/1998,1214.79
12/1998,1212.53
01/1999,1212.89
02/1999,1213.3
03/1999,1211.75
04/1999,1208.8
05/1999,1207.37
06/1999,1206.4
07/1999,1207.28
08/1999,1208.74
09/1999,1211.29
10/1999,1212.11
11/1999,1212.58
12/1999,1213.94
01/2000,1214.26
02/2000,1213.79
03/2000,1211.33
04/2000,1208.78
05/2000,1207.67
06/2000,1204.09
07/2000,1199.97
08/2000,1196.66
09/2000,1196.72
10/2000,1196.66
11/2000,1196.45
12/2000,1196.12
01/2001,1197.27
02/2001,1196.62
03/2001,1194.68
04/2001,1190.76
05/2001,1187.32
06/2001,1183.12
07/2001,1180.78
08/2001,1179.97
09/2001,1177.96
10/2001,1178.03
11/2001,1177.22
12/2001,1177.37
01/2002,1177.94
02/2002,1176.5
03/2002,1172.06
04/2002,1167.49
05/2002,1162.39
06/2002,1160.19
07/2002,1157.57
08/2002,1156.42
09/2002,1155.42
10/2002,1154.89
11/2002,1153.3
12/2002,1152.13
01/2003,1153.33
02/2003,1154.42
03/2003,1153.09
04/2003,1148.27
05/2003,1144.68
06/2003,1143.19
07/2003,1141.93
08/2003,1143.27
09/2003,1142.12
10/2003,1141.17
11/2003,1139.48
12/2003,1139.12
01/2004,1140.39
02/2004,1140.11
03/2004,1138.7
04/2004,1134.98
05/2004,1129.7
06/2004,1126.93
07/2004,1125.73
08/2004,1126.67
09/2004,1125.86
10/2004,1127.43
11/2004,1130.13
12/2004,1130.01
01/2005,1137.4
02/2005,1143.25
03/2005,1147.66
04/2005,1144.45
05/2005,1141.89
06/2005,1140.46
07/2005,1139.01
08/2005,1139.61
09/2005,1138.36
10/2005,1137.01
11/2005,1135.27
12/2005,1137.52
01/2006,1139.46
02/2006,1141.2
03/2006,1139.48
04/2006,1135.94
05/2006,1131.14
06/2006,1128.26
07/2006,1126.42
08/2006,1126.54
09/2006,1125.36
10/2006,1126.13
11/2006,1126.63
12/2006,1128.12
01/2007,1129.55
02/2007,1129.35
03/2007,1125.79
04/2007,1120.69
05/2007,1115.89
06/2007,1113.5
07/2007,1111.58
08/2007,1111.84
09/2007,1111.06
10/2007,1110.95
11/2007,1111.22
12/2007,1114.81
01/2008,1116.46
02/2008,1116.93
03/2008,1115.65
04/2008,1110.61
05/2008,1107.05
06/2008,1104.98
07/2008,1104.42
08/2008,1105.13
09/2008,1105.76
10/2008,1107.94
11/2008,1107.33
12/2008,1110.97
01/2009,1111.78
02/2009,1111.43
03/2009,1107.4
04/2009,1101.26
05/2009,1096.92
06/2009,1095.26
07/2009,1094.2
08/2009,1093.73
09/2009,1093.68
10/2009,1093.26
11/2009,1093.52
12/2009,1096.3
01/2010,1100.02
02/2010,1103.21
03/2010,1100.66
04/2010,1098
05/2010,1094.3
06/2010,1089.3
07/2010,1086.97
08/2010,1086.91
09/2010,1083.81
10/2010,1082.36
11/2010,1081.94
12/2010,1086.3
01/2011,1091.73
02/2011,1095.78
03/2011,1096.39
04/2011,1095.76
05/2011,1097.9
06/2011,1102.38
07/2011,1107.07
08/2011,1113.45
09/2011,1116.04
10/2011,1121
11/2011,1125.82
12/2011,1132.83
01/2012,1134.18
02/2012,1133.06
03/2012,1129.41
04/2012,1123.93
05/2012,1119.38
06/2012,1115.84
07/2012,1115.92
08/2012,1116.56
09/2012,1115.16
10/2012,1116.5
11/2012,1117.24
12/2012,1120.36
01/2013,1122.32
02/2013,1122.14
03/2013,1118.59
04/2013,1112.91
05/2013,1108.36
06/2013,1105.98
07/2013,1105.92
08/2013,1106.13
09/2013,1106.92
